year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1960,0.421047346,0.335191201,0.430878233,0.428992437,-0.277715929,-0.211276099,0.23378713,-0.361171793,-0.15157226,-0.062635684,0.335262512,0.095500067,-0.089048702,-0.340476065,-0.028757442,-0.761933838,-0.081340307,-0.491465653
1961,-0.163461725,-0.022292544,0.054726483,-0.535198783,-0.036954513,0.007260322,-0.299978967,0.273917972,-0.638803639,-0.39517775,0.358343709,0.531233861,0.180716068,-0.268194069,-0.1930972,-0.329667201,0.117333272,-0.335614862
1962,-0.475343504,-0.364509356,-0.113840942,-0.521231887,-0.104181742,0.384919003,0.231338916,0.028574584,0.1947402,0.373777098,0.001469731,-0.288299131,-0.372432969,-0.078261857,-0.247119361,0.222847996,-0.048145653,-0.193520954
1963,-0.215159568,-0.604610595,-0.133043878,-0.792117469,-0.484734283,-0.088593501,-0.741520543,-0.857011165,-0.146402057,-0.162686331,-0.581776965,-0.525455537,-0.235531126,-0.395457112,-0.181635604,-0.020896801,0.274415391,0.299285397
1964,-0.459706121,-0.530157314,0.427488605,-0.568294244,-0.679679372,-0.167981792,-0.58943569,-0.217113254,-0.005192615,-0.209649666,-0.58955978,-0.421718636,-0.258347254,-0.258346856,-0.010096443,0.119808493,0.012251838,-0.087651008
1965,-1.339834892,-0.863203892,0.360154621,-0.368285354,-0.271205925,0.215923862,0.171621951,-0.286186402,0.18471078,0.160877512,0.108551353,-0.062092163,-0.047305782,0.557290021,0.394246581,0.349786112,0.040801156,0.295975958
1966,-0.818961166,-0.951507321,0.062039347,-0.197804595,-0.600836646,-0.753898917,-0.009894835,-0.109320377,0.123276323,-0.382496068,-0.353492407,0.198286923,0.359692378,-0.230283442,0.237210198,-0.53613806,-0.526751456,-0.264646618
1967,-0.13138745,-0.102308935,-0.283108706,0.071315516,-0.060788815,0.14220816,-0.133108535,-0.270420052,-0.24632669,-0.06102141,-0.510399215,-0.702341432,-0.235151081,0.088929018,0.000931967,0.483108878,-0.161912247,0.474856059
1968,-0.480959165,-0.391538419,-0.452869116,0.029517216,-0.207055593,-0.287136511,-0.1174121,-0.082229434,0.048440245,-0.129086738,-0.001604888,0.555636377,0.573741611,0.085511486,0.450448783,0.093341423,-0.018532821,-0.055344984
1969,0.052597743,-0.315186552,0.081256844,0.11737772,-0.387053297,-0.268935531,0.256630793,-0.089485252,0.407553742,0.264723264,0.23453602,0.125173341,-0.034564835,0.309717837,-0.064581771,0.343204702,0.217557467,0.420846605
