"all_years","value","ResOpsUS","storage_cap_GRanD","ff","SPI"
1969,2611.6450630137,4566.1,8667.909688,0.571964053133681,0.407553742
1970,2538.48393835616,4566.1,8667.909688,0.555941380687275,0.059233367
1971,2333.87406986301,4566.1,8667.909688,0.511130739550823,0.108132751
1972,2554.70901912568,4566.1,8667.909688,0.559494759012217,0.45461821
1973,2392.99067671233,4566.1,8667.909688,0.524077588469882,-0.439874323
1974,2778.64184383562,4566.1,8667.909688,0.608537229547232,0.447406635
1975,2808.59937808219,4566.1,8667.909688,0.615098087663913,0.279760801
1976,2660.46377595628,4566.1,8667.909688,0.582655608934602,-0.043070949
1977,2071.34606849315,4566.1,8667.909688,0.453635721620891,-0.674710753
1978,2469.72099178082,4566.1,8881.309688,0.540881932454572,0.341648352
1979,2607.72495890411,4566.1,8881.309688,0.571105529643265,-0.050170913
1980,2445.81623224044,4566.1,8881.309688,0.535646663945257,-0.491107016
1981,2320.03161643836,4566.1,8881.309688,0.508099169189978,-0.055244638
1982,2468.75962191781,4566.1,8881.309688,0.540671387380436,0.047426614
1983,2467.16230684932,4566.1,8881.309688,0.540321566949764,-0.024816517
1984,2512.60218032787,4566.1,8881.309688,0.550273139074455,-0.390714452
1985,2581.14100547945,4566.1,8881.309688,0.565283503532435,0.145925088
1986,2780.04240821918,4566.1,8881.309688,0.608843960539449,0.464534748
1987,2326.84812328767,4566.1,8954.109688,0.509592020167686,-0.071943914
1988,2099.19293169399,4566.1,8954.109688,0.459734331638376,-0.876531343
1989,2037.20455616438,4566.1,8954.109688,0.44615855022106,0.149266544
1990,2164.4867890411,4566.1,8954.109688,0.474034031020148,-0.160234325
1991,1998.70035890411,4566.1,8954.109688,0.43772592779486,-0.031048959
1992,2244.07655191257,4566.1,8954.109688,0.491464609165933,-0.1664781
1993,2454.48539178082,4566.1,8954.109688,0.537545255640661,0.228934329
1994,2455.55203013699,4566.1,8954.109688,0.537778855070407,-0.384776588
1995,2526.11858356164,4566.1,8954.109688,0.553233302722596,0.321047519
1996,2644.18286338798,4566.1,8954.109688,0.579090003151043,0.353388559
1997,2656.04630958904,4566.1,8954.109688,0.581688160484668,0.299328113
1998,2487.36095068493,4566.1,8954.109688,0.544745176558755,0.016192717
1999,2506.1953260274,4566.1,8954.109688,0.548870004167101,0.554560578
2000,2532.62145081967,4566.1,8954.109688,0.554657464974414,-0.176946581
2001,2658.47142465753,4566.1,8954.109688,0.582219273484491,0.156161155
2002,2628.36634246575,4566.1,8954.109688,0.575626101589048,-0.27543347
2003,2248.72602191781,4566.1,8954.109688,0.49248286763711,-0.599931707
2004,2249.031,4566.1,8954.109688,0.492549659446793,0.097323101
2005,2611.76753972603,4566.1,8954.109688,0.571990876180116,0.260528467
2006,2601.35601369863,4566.1,8954.109688,0.569710697027798,-0.179066795
2007,2387.11009863014,4566.1,8954.109688,0.522789710832031,-0.071132376
2008,2420.05283606557,4566.1,8954.109688,0.530004344203056,-0.211852929
2009,2700.97546849315,4566.1,8954.109688,0.59152788342199,0.356151406
2010,2697.5570109589,4566.1,8954.109688,0.590779223179279,0.380602581
2011,2998.64589315068,4566.1,8954.109688,0.656719277534589,0.597541557
2012,2485.95244808743,4566.1,8954.109688,0.544436707055788,-0.053352119
2013,2228.48143363077,4566.1,8954.109688,0.48804919595076,NA
2014,2260.82515951992,4566.1,8954.109688,0.49513264263155,NA
2015,2545.17525616438,4566.1,8954.109688,0.557406814604232,NA
2016,2577.76469522412,4566.1,8954.109688,0.564544073766261,NA
2017,2458.99165964818,4566.1,8954.109688,0.538532152087817,NA
2018,2225.70366361436,4566.1,8954.109688,0.487440849656021,NA
2019,2561.09142590998,4566.1,8954.109688,0.560892539784495,NA
2020,2978.58443207187,4566.1,8954.109688,0.65232571167339,NA
2021,NA,0,8954.109688,NA,NA
